package,transitive_dependents
tslib,212
@babel/runtime,154
chalk,122
debug,116
semver,107
lodash,81
@types/node,55
glob,52
@aws-sdk/types,51
graceful-fs,45
minimatch,45
call-bind,43
prop-types,43
postcss-value-parser,42
readable-stream,42
commander,41
classnames,40
uuid,39
source-map,36
strip-ansi,36
yargs,36
@radix-ui/react-primitive,34
@swc/helpers,34
safe-buffer,34
define-properties,33
fs-extra,33
inherits,33
core-js,32
@aws-sdk/protocol-http,30
@babel/core,30
@react-types/shared,30
execa,30
rc-util,30
node-fetch,29
resolve,29
js-yaml,27
@jest/types,26
micromark-util-types,26
micromatch,26
@radix-ui/react-context,25
es-abstract,25
function.prototype.name,25
globby,25
postcss-selector-parser,25
rimraf,25
string.prototype.trimend,25
string.prototype.trimstart,25
@radix-ui/react-compose-refs,24
chokidar,24
jest-util,24
minimist,24
@radix-ui/primitive,23
micromark-util-symbol,23
slash,23
ws,23
@aws-sdk/util-utf8-browser,22
@graphql-tools/utils,22
regenerator-runtime,22
@aws-sdk/middleware-endpoint,21
@aws-sdk/smithy-client,21
@opentelemetry/semantic-conventions,21
escape-string-regexp,21
get-intrinsic,21
mkdirp,21
@aws-crypto/sha256-js,20
@aws-sdk/config-resolver,20
@aws-sdk/node-config-provider,20
@opentelemetry/core,20
@types/mdast,20
string-width,20
@aws-crypto/sha256-browser,19
@aws-sdk/fetch-http-handler,19
@aws-sdk/hash-node,19
@aws-sdk/invalid-dependency,19
@aws-sdk/middleware-content-length,19
@aws-sdk/middleware-host-header,19
@aws-sdk/middleware-logger,19
@aws-sdk/middleware-recursion-detection,19
@aws-sdk/middleware-retry,19
@aws-sdk/middleware-serde,19
@aws-sdk/middleware-stack,19
@aws-sdk/middleware-user-agent,19
@aws-sdk/node-http-handler,19
@aws-sdk/url-parser,19
@aws-sdk/util-base64,19
@aws-sdk/util-body-length-browser,19
@aws-sdk/util-body-length-node,19
@aws-sdk/util-defaults-mode-browser,19
@aws-sdk/util-defaults-mode-node,19
@aws-sdk/util-endpoints,19
@aws-sdk/util-retry,19
@aws-sdk/util-user-agent-browser,19
@aws-sdk/util-user-agent-node,19
@aws-sdk/util-utf8-node,19
@radix-ui/react-use-controllable-state,19
@types/hast,19
ckeditor5,19
ignore,19
@aws-sdk/credential-provider-node,18
@types/unist,18
acorn,18
browserslist,18
cosmiconfig,18
https-proxy-agent,18
micromark-util-character,18
resolve-from,18
schema-utils,18
through2,18
type-fest,18
@aws-sdk/client-sts,17
