rank,package_name,num_direct_dependents
1,eslint,1236
2,typescript,1154
3,mocha,1111
4,@types/node,740
5,prettier,713
6,rimraf,554
7,nyc,518
8,jest,477
9,tape,442
10,rollup,423
11,eslint-plugin-import,417
12,@babel/core,395
13,xo,378
14,eslint-config-prettier,349
15,ava,341
16,husky,335
17,chai,331
18,@typescript-eslint/parser,315
19,@types/jest,307
20,@babel/preset-env,298
21,@typescript-eslint/eslint-plugin,296
22,tslib,276
23,tsd,261
24,lint-staged,260
25,ts-node,238
26,webpack,230
27,sinon,224
28,@types/mocha,221
29,eslint-plugin-prettier,211
30,lodash,209
31,semver,207
32,cross-env,207
33,c8,203
34,standard,203
35,react,202
36,coveralls,196
37,chalk,189
38,ts-jest,186
39,tap,182
40,@babel/runtime,179
41,eslint-plugin-node,176
42,@babel/cli,175
43,react-dom,174
44,rollup-plugin-terser,162
45,istanbul,158
46,@rollup/plugin-node-resolve,152
47,npm-run-all,148
48,benchmark,147
49,glob,146
50,@types/react,146
51,webpack-cli,128
52,eslint-plugin-promise,128
53,debug,126
54,babel-jest,124
55,codecov,122
56,karma,118
57,eslint-plugin-react,118
58,babel-eslint,116
59,eslint-config-standard,114
60,@commitlint/cli,113
61,browserify,111
62,postcss,110
63,typedoc,110
64,@rollup/plugin-commonjs,109
65,esm,108
66,fs-extra,108
67,babel-loader,103
68,@types/chai,101
69,standard-version,101
70,safe-publish-latest,99
71,karma-chrome-launcher,96
72,@ljharb/eslint-config,96
73,remark-cli,95
74,gulp-format-md,95
75,@commitlint/config-conventional,89
76,aud,89
77,execa,89
78,uglify-js,89
79,semantic-release,89
80,auto-changelog,87
81,eslint-plugin-standard,86
82,@types/react-dom,85
83,should,85
84,mkdirp,83
85,type-coverage,83
86,remark-preset-wooorm,80
87,@types/sinon,79
88,@testing-library/react,78
89,concurrently,78
90,core-js,78
91,karma-mocha,77
92,eslint-plugin-jest,76
93,tslint,75
94,@babel/preset-typescript,74
95,@types/tape,73
