rank,package_name,transitive_reach
1,typescript,3470
2,tslib,3454
3,@types/node,3451
4,@babel/runtime,3446
5,@swc/helpers,3438
6,@babel/core,3438
7,micromark-util-symbol,3430
8,type-fest,3430
9,safe-buffer,3429
10,workbox-core,3429
11,from,3428
12,micromark-util-types,3428
13,through,3427
14,@babel/cli,3427
15,escape-string-regexp,3427
16,@babel/plugin-proposal-decorators,3426
17,abbrev,3425
18,protocols,3425
19,dot-prop,3425
20,pause-stream,3425
21,map-stream,3425
22,stream-combiner,3425
23,duplexer,3425
24,event-stream,3425
25,@babel/plugin-transform-runtime,3425
26,micromark-util-character,3425
27,@babel/helper-plugin-utils,3425
28,split,3425
29,@esbuild/freebsd-arm64,3424
30,@esbuild/linux-arm,3424
31,@esbuild/darwin-arm64,3424
32,@esbuild/linux-ia32,3424
33,@esbuild/linux-x64,3424
34,@esbuild/openbsd-x64,3424
35,@esbuild/win32-ia32,3424
36,@esbuild/linux-loong64,3424
37,@esbuild/freebsd-x64,3424
38,@esbuild/win32-arm64,3424
39,@esbuild/android-arm64,3424
40,@esbuild/android-x64,3424
41,@esbuild/linux-ppc64,3424
42,@esbuild/linux-mips64el,3424
43,@esbuild/netbsd-x64,3424
44,@esbuild/sunos-x64,3424
45,@esbuild/linux-s390x,3424
46,wrappy,3424
47,@esbuild/win32-x64,3424
48,crypto-random-string,3424
49,core-util-is,3424
50,@formatjs/intl-localematcher,3424
51,@babel/preset-env,3424
52,@babel/plugin-transform-typescript,3424
53,@esbuild/linux-arm64,3424
54,@esbuild/linux-riscv64,3424
55,@types/trusted-types,3424
56,nopt,3424
57,@esbuild/android-arm,3424
58,@esbuild/darwin-x64,3424
59,@babel/preset-typescript,3423
60,touch,3423
61,inherits,3423
62,tempy,3423
63,esbuild,3423
64,json-parse-even-better-errors,3423
65,parse-path,3423
66,is-stream,3423
67,ansi-regex,3423
68,unique-string,3423
69,@babel/plugin-transform-modules-commonjs,3423
70,temp-dir,3423
71,once,3423
72,@formatjs/ecma402-abstract,3423
73,@types/webpack-env,3423
74,path-exists,3423
75,assert-plus,3423
76,normalize-url,3423
77,is-plain-obj,3422
78,@vue/shared,3422
79,extsprintf,3422
80,mobx,3422
81,lodash,3422
82,end-of-stream,3422
83,node-int64,3422
84,http-parser-js,3422
85,callsites,3422
86,react-refresh,3422
87,imurmurhash,3422
88,vue-demi,3422
89,babel-polyfill,3422
90,@hapi/hoek,3422
91,queue-microtask,3422
92,is-ssh,3422
93,workbox-routing,3422
94,indent-string,3422
95,@formatjs/icu-skeleton-parser,3422
96,min-indent,3422
97,@emotion/memoize,3422
98,playwright-core,3422
99,acorn,3422
100,@algolia/client-common,3422
101,is-unicode-supported,3422
102,resolve-from,3422
103,parse-url,3422
104,@vue/devtools-api,3422
105,mute-stream,3422
106,@babel/plugin-syntax-nullish-coalescing-operator,3422
107,clone,3422
108,websocket-extensions,3422
109,@babel/plugin-syntax-optional-chaining,3422
110,strip-indent,3421
111,@babel/plugin-transform-flow-strip-types,3421
112,@babel/plugin-syntax-flow,3421
113,stream-chain,3421
114,clean-stack,3421
115,eslint-config-prettier,3421
116,is-obj,3421
117,git-up,3421
118,xtend,3421
119,filename-reserved-regex,3421
120,builtin-modules,3421
121,node-gyp-build-optional-packages,3421
122,@babel/plugin-syntax-json-strings,3421
123,@nodelib/fs.stat,3421
124,npm-normalize-package-bin,3421
125,@babel/plugin-syntax-async-generators,3421
126,micromark-factory-space,3421
127,@babel/plugin-syntax-optional-catch-binding,3421
128,acorn-walk,3421
129,bser,3421
130,binary-extensions,3421
131,@babel/plugin-transform-react-display-name,3421
132,@babel/plugin-syntax-top-level-await,3421
133,trim-repeated,3421
134,@babel/plugin-syntax-object-rest-spread,3421
135,@types/react,3421
136,@babel/plugin-syntax-class-properties,3421
137,@svgr/babel-plugin-transform-react-native-svg,3421
138,delayed-stream,3421
139,@types/jest,3421
140,@babel/plugin-syntax-logical-assignment-operators,3421
141,workbox-strategies,3421
142,@vueuse/metadata,3421
143,micromark-util-encode,3421
144,char-regex,3421
145,@svgr/babel-plugin-remove-jsx-attribute,3421
146,@protobufjs/aspromise,3421
147,@vueuse/shared,3421
148,micromark-util-chunked,3421
149,just-diff,3421
150,@types/glob,3421
151,figures,3421
152,@emotion/is-prop-valid,3421
153,@babel/plugin-syntax-import-meta,3421
154,@babel/plugin-transform-arrow-functions,3421
155,escape-goat,3421
156,websocket-driver,3421
157,@babel/plugin-transform-block-scoping,3421
158,babel-plugin-transform-object-rest-spread,3421
159,just-diff-apply,3421
160,@types/hast,3421
161,detect-newline,3421
162,babel-plugin-transform-es2015-modules-commonjs,3421
163,text-extensions,3421
164,@pnpm/types,3421
165,map-obj,3421
166,core-js,3421
167,randombytes,3421
168,@algolia/client-search,3421
169,@svgr/babel-plugin-transform-svg-component,3421
170,@svgr/babel-plugin-svg-dynamic-title,3421
171,@svgr/babel-plugin-add-jsx-attribute,3421
172,@svgr/babel-plugin-svg-em-dimensions,3421
173,@svgr/babel-plugin-replace-jsx-attribute-value,3421
174,is-path-inside,3421
175,@babel/plugin-transform-classes,3421
176,run-parallel,3421
177,is-buffer,3421
178,@protobufjs/inquire,3421
179,parse-ms,3421
180,@types/web-bluetooth,3421
181,jsonparse,3421
182,@babel/plugin-syntax-numeric-separator,3421
183,@svgr/babel-plugin-remove-jsx-empty-expression,3421
184,@babel/plugin-transform-react-jsx,3421
185,@csstools/css-parser-algorithms,3421
186,@csstools/css-tokenizer,3421
187,@xtuc/ieee754,3421
188,is-regexp,3421
189,@babel/template,3421
190,proto-list,3421
191,big.js,3421
192,mobx-react-lite,3421
193,queue-tick,3421
194,read,3421
195,@formatjs/icu-messageformat-parser,3421
196,defaults,3421
197,string_decoder,3421
198,isarray,3421
199,fast-fifo,3421
200,@babel/plugin-proposal-export-default-from,3421
201,decimal.js,3421
202,is-property,3421
203,import-from,3421
204,@csstools/media-query-list-parser,3421
205,@formatjs/fast-memoize,3421
206,@vue/reactivity,3421
207,json-schema,3421
208,balanced-match,3421
209,verror,3421
210,path-key,3421
211,arch,3421
212,@babel/plugin-syntax-bigint,3421
213,strip-outer,3421
214,unique-slug,3421
215,@babel/plugin-transform-react-jsx-source,3421
216,babel-core,3421
217,strip-ansi,3421
218,sort-keys,3421
219,shebang-regex,3421
220,@babel/plugin-syntax-dynamic-import,3421
221,ini,3421
222,regenerator-runtime,3421
223,currently-unhandled,3420
224,babylon,3420
225,@types/d3-scale,3420
226,postcss-initial,3420
227,@aws-sdk/credential-provider-cognito-identity,3420
228,pretty-hrtime,3420
229,@commitlint/resolve-extends,3420
230,split-on-first,3420
231,exec-sh,3420
232,find-versions,3420
233,sudo-prompt,3420
234,streamroller,3420
235,throttle-debounce,3420
236,@commitlint/execute-rule,3420
237,loud-rejection,3420
238,wait-on,3420
239,compare-versions,3420
